epsilon,angle_accuracy,angle_loss,amplitude_accuracy,amplitude_loss,reupload_accuracy,reupload_loss
0.0,0.9563106796116505,0.30930014529155453,0.8446601941747572,0.6192908923989876,1.0,0.268017562825287
0.05,0.8980582524271845,0.37839074861393013,0.8106796116504854,0.7168568152165904,0.9951690821256038,0.3568165204863368
0.1,0.883495145631068,0.45827710615894746,0.7427184466019418,0.8082555840394094,0.9710144927536232,0.4809749007007556
0.15,0.883495145631068,0.4582771061589475,0.7233009708737864,0.821447626849749,0.9710144927536232,0.48097490070075566
0.2,0.883495145631068,0.4582771061589475,0.7233009708737864,0.821447626849749,0.9710144927536232,0.48097490070075566
0.25,0.883495145631068,0.4582771061589475,0.7233009708737864,0.821447626849749,0.9710144927536232,0.48097490070075566
0.3,0.883495145631068,0.4582771061589475,0.7233009708737864,0.821447626849749,0.9710144927536232,0.48097490070075566
0.35,0.883495145631068,0.4582771061589475,0.7233009708737864,0.821447626849749,0.9710144927536232,0.48097490070075566
0.4,0.883495145631068,0.4582771061589475,0.7233009708737864,0.821447626849749,0.9710144927536232,0.48097490070075566
0.45,0.883495145631068,0.4582771061589475,0.7233009708737864,0.821447626849749,0.9710144927536232,0.48097490070075566
0.5,0.883495145631068,0.4582771061589475,0.7233009708737864,0.821447626849749,0.9710144927536232,0.48097490070075566
0.55,0.883495145631068,0.4582771061589475,0.7233009708737864,0.821447626849749,0.9710144927536232,0.48097490070075566
0.6,0.883495145631068,0.4582771061589475,0.7233009708737864,0.821447626849749,0.9710144927536232,0.48097490070075566
0.65,0.883495145631068,0.4582771061589475,0.7233009708737864,0.821447626849749,0.9710144927536232,0.48097490070075566
0.7,0.883495145631068,0.4582771061589475,0.7233009708737864,0.821447626849749,0.9710144927536232,0.48097490070075566
0.75,0.883495145631068,0.4582771061589475,0.7233009708737864,0.821447626849749,0.9710144927536232,0.48097490070075566
0.8,0.883495145631068,0.4582771061589475,0.7233009708737864,0.821447626849749,0.9710144927536232,0.48097490070075566
0.85,0.883495145631068,0.4582771061589475,0.7233009708737864,0.821447626849749,0.9710144927536232,0.48097490070075566
0.9,0.883495145631068,0.4582771061589475,0.7233009708737864,0.821447626849749,0.9710144927536232,0.48097490070075566
0.95,0.883495145631068,0.4582771061589475,0.7233009708737864,0.821447626849749,0.9710144927536232,0.48097490070075566
1.0,0.883495145631068,0.4582771061589475,0.7233009708737864,0.821447626849749,0.9710144927536232,0.48097490070075566
