epsilon,reupload_accuracy,reupload_loss
0.0,0.966183574879227,0.3454103537594439
0.05,0.9130434782608695,0.4538657835981399
0.1,0.8840579710144928,0.5900183057422854
0.15,0.7874396135265701,0.7421301683241217
0.2,0.6714975845410628,0.8922556238189687
0.25,0.5555555555555556,1.0232471710173885
0.3,0.5120772946859904,1.1239808869059504
0.35,0.45410628019323673,1.191844527536494
0.4,0.45893719806763283,1.2303052057037938
0.45,0.4492753623188406,1.24613698179799
0.5,0.4396135265700483,1.2468665585224035
0.55,0.43478260869565216,1.239105455271958
0.6,0.41545893719806765,1.2284013062930963
0.65,0.41545893719806765,1.2157699710583956
0.7,0.391304347826087,1.2009305751040882
0.75,0.37681159420289856,1.1834757223366925
0.8,0.3864734299516908,1.164536436598707
0.85,0.38164251207729466,1.1454101651998345
0.9,0.391304347826087,1.1292244528569682
0.95,0.4106280193236715,1.1170622988975512
1.0,0.40096618357487923,1.109363812034483
